<ticker>,<date>,<time>,<close>,SMA_value
.NSEBANK,02-02-2022,13:53:00,39132.6,39169.373
.NSEBANK,02-02-2022,13:54:00,39137.3,39169.3555
.NSEBANK,02-02-2022,13:55:00,39165.5,39169.5675
.NSEBANK,02-02-2022,13:56:00,39157.1,39169.814
.NSEBANK,02-02-2022,13:57:00,39157.4,39170.213
.NSEBANK,02-02-2022,13:58:00,39152.1,39170.812
.NSEBANK,02-02-2022,13:59:00,39156.5,39171.5645
.NSEBANK,02-02-2022,14:00:00,39164.4,39172.256
.NSEBANK,02-02-2022,14:01:00,39194.9,39173.1405
.NSEBANK,02-02-2022,14:02:00,39185.8,39173.87
.NSEBANK,02-02-2022,14:03:00,39191.8,39174.5105
.NSEBANK,02-02-2022,14:04:00,39172.8,39175.154
.NSEBANK,02-02-2022,14:05:00,39180.1,39175.7975
.NSEBANK,02-02-2022,14:06:00,39173.9,39176.335
.NSEBANK,02-02-2022,14:07:00,39175.8,39176.8985
.NSEBANK,02-02-2022,14:08:00,39176.6,39177.5285
.NSEBANK,02-02-2022,14:09:00,39106,39177.7645
.NSEBANK,02-02-2022,14:10:00,39116.3,39178.024
.NSEBANK,02-02-2022,14:11:00,39160.5,39178.479
.NSEBANK,02-02-2022,14:12:00,39193.7,39179.162
.NSEBANK,02-02-2022,14:13:00,39257.7,39180.1705
.NSEBANK,02-02-2022,14:14:00,39248.6,39181.1635
.NSEBANK,02-02-2022,14:15:00,39268.9,39182.219
.NSEBANK,02-02-2022,14:16:00,39246.4,39183.1105
.NSEBANK,02-02-2022,14:17:00,39237.6,39183.9085
.NSEBANK,02-02-2022,14:18:00,39244.4,39184.6875
.NSEBANK,02-02-2022,14:19:00,39238.9,39185.415
.NSEBANK,02-02-2022,14:20:00,39245.8,39186.2175
.NSEBANK,02-02-2022,14:21:00,39226.6,39186.924
.NSEBANK,02-02-2022,14:22:00,39230.1,39187.5405
.NSEBANK,02-02-2022,14:23:00,39229,39188.0175
.NSEBANK,02-02-2022,14:24:00,39245.8,39188.5905
.NSEBANK,02-02-2022,14:25:00,39248.8,39189.1635
.NSEBANK,02-02-2022,14:26:00,39252.9,39189.821
.NSEBANK,02-02-2022,14:27:00,39266.3,39190.53
.NSEBANK,02-02-2022,14:28:00,39276.1,39191.2395
.NSEBANK,02-02-2022,14:29:00,39292.9,39191.8995
.NSEBANK,02-02-2022,14:30:00,39266.6,39192.55
.NSEBANK,02-02-2022,14:31:00,39274.1,39193.2535
.NSEBANK,02-02-2022,14:32:00,39293.1,39194.141
.NSEBANK,02-02-2022,14:33:00,39291.6,39195.051
.NSEBANK,02-02-2022,14:34:00,39327.2,39196.068
.NSEBANK,02-02-2022,14:35:00,39323.6,39197.018
.NSEBANK,02-02-2022,14:36:00,39358.6,39198.223
.NSEBANK,02-02-2022,14:37:00,39354.1,39199.378
.NSEBANK,02-02-2022,14:38:00,39358.6,39200.596
.NSEBANK,02-02-2022,14:39:00,39360.3,39201.8945
.NSEBANK,02-02-2022,14:40:00,39357.8,39203.174
.NSEBANK,02-02-2022,14:41:00,39368.8,39204.5155
.NSEBANK,02-02-2022,14:42:00,39361.8,39205.822
.NSEBANK,02-02-2022,14:43:00,39343,39206.938
.NSEBANK,02-02-2022,14:44:00,39346.4,39208.013
.NSEBANK,02-02-2022,14:45:00,39372.4,39209.183
.NSEBANK,02-02-2022,14:46:00,39382.2,39210.426
.NSEBANK,02-02-2022,14:47:00,39370.5,39211.6165
.NSEBANK,02-02-2022,14:48:00,39347.6,39212.7155
.NSEBANK,02-02-2022,14:49:00,39339.1,39213.7505
.NSEBANK,02-02-2022,14:50:00,39339,39214.766
.NSEBANK,02-02-2022,14:51:00,39343.3,39215.7085
.NSEBANK,02-02-2022,14:52:00,39335.1,39216.6065
.NSEBANK,02-02-2022,14:53:00,39341.6,39217.6105
.NSEBANK,02-02-2022,14:54:00,39345.6,39218.6255
.NSEBANK,02-02-2022,14:55:00,39351.8,39219.6715
.NSEBANK,02-02-2022,14:56:00,39353.8,39220.6715
.NSEBANK,02-02-2022,14:57:00,39342.3,39221.639
.NSEBANK,02-02-2022,14:58:00,39340.3,39222.6875
.NSEBANK,02-02-2022,14:59:00,39333,39223.653
.NSEBANK,02-02-2022,15:00:00,39338.1,39224.608
.NSEBANK,02-02-2022,15:01:00,39330.6,39225.4945
.NSEBANK,02-02-2022,15:02:00,39329.1,39226.358
.NSEBANK,02-02-2022,15:03:00,39302.6,39227.073
.NSEBANK,02-02-2022,15:04:00,39331.2,39227.9385
.NSEBANK,02-02-2022,15:05:00,39329.3,39228.64
.NSEBANK,02-02-2022,15:06:00,39347.4,39229.4715
.NSEBANK,02-02-2022,15:07:00,39349.6,39230.2545
.NSEBANK,02-02-2022,15:08:00,39324.8,39230.919
.NSEBANK,02-02-2022,15:09:00,39340.2,39231.6115
.NSEBANK,02-02-2022,15:10:00,39331.8,39232.2585
.NSEBANK,02-02-2022,15:11:00,39324.6,39232.849
.NSEBANK,02-02-2022,15:12:00,39319.1,39233.3805
.NSEBANK,02-02-2022,15:13:00,39319.1,39233.929
.NSEBANK,02-02-2022,15:14:00,39334.4,39234.509
.NSEBANK,02-02-2022,15:15:00,39329.8,39235.067
.NSEBANK,02-02-2022,15:16:00,39321.3,39235.612
.NSEBANK,02-02-2022,15:17:00,39319,39236.135
.NSEBANK,02-02-2022,15:18:00,39334.8,39236.682
.NSEBANK,02-02-2022,15:19:00,39340.4,39237.2565
.NSEBANK,02-02-2022,15:20:00,39343.3,39237.7725
.NSEBANK,02-02-2022,15:21:00,39327.2,39238.195
.NSEBANK,02-02-2022,15:22:00,39313.3,39238.6385
.NSEBANK,02-02-2022,15:23:00,39316.4,39239.1575
.NSEBANK,02-02-2022,15:24:00,39313.1,39239.6525
.NSEBANK,02-02-2022,15:25:00,39314.6,39240.0975
.NSEBANK,02-02-2022,15:26:00,39312,39240.4645
.NSEBANK,02-02-2022,15:27:00,39309.9,39240.8175
.NSEBANK,02-02-2022,15:28:00,39319.9,39241.1865
.NSEBANK,02-02-2022,15:29:00,39338.2,39241.5795
.NSEBANK,02-02-2022,15:30:00,39338.1,39241.934
.NSEBANK,03-02-2022,09:15:00,39361.8,39242.546
.NSEBANK,03-02-2022,09:16:00,39343.4,39243.1325
.NSEBANK,03-02-2022,09:17:00,39248.9,39243.2685
.NSEBANK,03-02-2022,09:18:00,39280.9,39243.6175
.NSEBANK,03-02-2022,09:19:00,39346.3,39244.3645
.NSEBANK,03-02-2022,09:20:00,39326.6,39244.9355
.NSEBANK,03-02-2022,09:21:00,39299.9,39245.26
.NSEBANK,03-02-2022,09:22:00,39300.6,39245.4385
.NSEBANK,03-02-2022,09:23:00,39348.1,39245.827
.NSEBANK,03-02-2022,09:24:00,39326.9,39246.1585
.NSEBANK,03-02-2022,09:25:00,39297.3,39246.314
.NSEBANK,03-02-2022,09:26:00,39300.1,39246.5485
.NSEBANK,03-02-2022,09:27:00,39301.1,39246.836
.NSEBANK,03-02-2022,09:28:00,39306.1,39247.1435
.NSEBANK,03-02-2022,09:29:00,39281.9,39247.4335
.NSEBANK,03-02-2022,09:30:00,39245.8,39247.6025
.NSEBANK,03-02-2022,09:31:00,39249.1,39247.85
.NSEBANK,03-02-2022,09:32:00,39226.9,39247.8565
.NSEBANK,03-02-2022,09:33:00,39236.1,39247.925
.NSEBANK,03-02-2022,09:34:00,39236.6,39247.934
.NSEBANK,03-02-2022,09:35:00,39233.3,39247.934
.NSEBANK,03-02-2022,09:36:00,39199.6,39247.8995
.NSEBANK,03-02-2022,09:37:00,39220.9,39247.942
.NSEBANK,03-02-2022,09:38:00,39200.7,39247.9475
.NSEBANK,03-02-2022,09:39:00,39216.6,39247.98
.NSEBANK,03-02-2022,09:40:00,39249.8,39248.186
.NSEBANK,03-02-2022,09:41:00,39283.4,39248.567
.NSEBANK,03-02-2022,09:42:00,39287.8,39249.001
.NSEBANK,03-02-2022,09:43:00,39271.1,39249.358
.NSEBANK,03-02-2022,09:44:00,39246.9,39249.567
.NSEBANK,03-02-2022,09:45:00,39218.8,39249.5765
.NSEBANK,03-02-2022,09:46:00,39204.9,39249.472
.NSEBANK,03-02-2022,09:47:00,39196.4,39249.3195
.NSEBANK,03-02-2022,09:48:00,39205.8,39249.246
.NSEBANK,03-02-2022,09:49:00,39209.5,39249.2145
.NSEBANK,03-02-2022,09:50:00,39173.9,39249.0275
.NSEBANK,03-02-2022,09:51:00,39180,39248.8455
.NSEBANK,03-02-2022,09:52:00,39208.7,39248.751
.NSEBANK,03-02-2022,09:53:00,39245.4,39248.8335
.NSEBANK,03-02-2022,09:54:00,39246.8,39248.9285
.NSEBANK,03-02-2022,09:55:00,39264.9,39249.1435
.NSEBANK,03-02-2022,09:56:00,39269.1,39249.4945
.NSEBANK,03-02-2022,09:57:00,39274.3,39249.872
.NSEBANK,03-02-2022,09:58:00,39276.8,39250.2185
.NSEBANK,03-02-2022,09:59:00,39265.1,39250.5915
.NSEBANK,03-02-2022,10:00:00,39269.1,39251.064
.NSEBANK,03-02-2022,10:01:00,39273.1,39251.5465
.NSEBANK,03-02-2022,10:02:00,39268.6,39252.038
.NSEBANK,03-02-2022,10:03:00,39270.4,39252.553
.NSEBANK,03-02-2022,10:04:00,39280.1,39253.061
.NSEBANK,03-02-2022,10:05:00,39250,39253.391
.NSEBANK,03-02-2022,10:06:00,39233.8,39253.5955
.NSEBANK,03-02-2022,10:07:00,39230.9,39253.7995
.NSEBANK,03-02-2022,10:08:00,39227.3,39254.0355
.NSEBANK,03-02-2022,10:09:00,39209.8,39254.1615
.NSEBANK,03-02-2022,10:10:00,39196.4,39254.2515
.NSEBANK,03-02-2022,10:11:00,39214.1,39254.627
.NSEBANK,03-02-2022,10:12:00,39228.1,39254.9585
.NSEBANK,03-02-2022,10:13:00,39206.9,39255.1905
.NSEBANK,03-02-2022,10:14:00,39212.1,39255.3745
.NSEBANK,03-02-2022,10:15:00,39200,39255.4975
.NSEBANK,03-02-2022,10:16:00,39191.6,39255.614
.NSEBANK,03-02-2022,10:17:00,39196.4,39255.7815
.NSEBANK,03-02-2022,10:18:00,39175.3,39255.8265
.NSEBANK,03-02-2022,10:19:00,39176.8,39255.949
.NSEBANK,03-02-2022,10:20:00,39202.3,39256.1385
.NSEBANK,03-02-2022,10:21:00,39209.9,39256.271
.NSEBANK,03-02-2022,10:22:00,39189.1,39256.2735
.NSEBANK,03-02-2022,10:23:00,39195,39256.2695
.NSEBANK,03-02-2022,10:24:00,39202.4,39256.134
.NSEBANK,03-02-2022,10:25:00,39197.4,39256.027
.NSEBANK,03-02-2022,10:26:00,39199,39255.919
.NSEBANK,03-02-2022,10:27:00,39189.6,39255.813
.NSEBANK,03-02-2022,10:28:00,39166.7,39255.6935
.NSEBANK,03-02-2022,10:29:00,39163.1,39255.5595
.NSEBANK,03-02-2022,10:30:00,39161.8,39255.4155
.NSEBANK,03-02-2022,10:31:00,39181.9,39255.357
