<ticker>,<date>,<time>,<close>
banknifty_option_contract,3/2/2022,10:56:00,372
banknifty_option_contract,3/2/2022,10:57:00,377.35
banknifty_option_contract,3/2/2022,10:58:00,379.85
banknifty_option_contract,3/2/2022,10:59:00,375.1
banknifty_option_contract,3/2/2022,11:00:00,374.1
banknifty_option_contract,3/2/2022,11:01:00,372.7
banknifty_option_contract,3/2/2022,11:02:00,382
banknifty_option_contract,3/2/2022,11:03:00,378.15
banknifty_option_contract,3/2/2022,11:04:00,375.4
banknifty_option_contract,3/2/2022,11:05:00,375.05
banknifty_option_contract,3/2/2022,11:06:00,367
banknifty_option_contract,3/2/2022,11:07:00,364.4
banknifty_option_contract,3/2/2022,11:08:00,363.5
banknifty_option_contract,3/2/2022,11:09:00,359
banknifty_option_contract,3/2/2022,11:10:00,363.7
banknifty_option_contract,3/2/2022,11:11:00,363.8
banknifty_option_contract,3/2/2022,11:12:00,364.2
banknifty_option_contract,3/2/2022,11:13:00,363.1
banknifty_option_contract,3/2/2022,11:14:00,363.3
banknifty_option_contract,3/2/2022,11:15:00,358.75
banknifty_option_contract,3/2/2022,11:16:00,351.8
banknifty_option_contract,3/2/2022,11:17:00,352
banknifty_option_contract,3/2/2022,11:18:00,350.4
banknifty_option_contract,3/2/2022,11:19:00,355.95
banknifty_option_contract,3/2/2022,11:20:00,358.45
banknifty_option_contract,3/2/2022,11:21:00,358.2
banknifty_option_contract,3/2/2022,11:22:00,356.05
banknifty_option_contract,3/2/2022,11:23:00,353
banknifty_option_contract,3/2/2022,11:24:00,349.85
banknifty_option_contract,3/2/2022,11:25:00,349.9
banknifty_option_contract,3/2/2022,11:26:00,350.9
banknifty_option_contract,3/2/2022,11:27:00,354
banknifty_option_contract,3/2/2022,11:28:00,354.8
banknifty_option_contract,3/2/2022,11:29:00,362
banknifty_option_contract,3/2/2022,11:30:00,369.7
banknifty_option_contract,3/2/2022,11:31:00,371.8
banknifty_option_contract,3/2/2022,11:32:00,368
banknifty_option_contract,3/2/2022,11:33:00,367.35
banknifty_option_contract,3/2/2022,11:34:00,369.1
banknifty_option_contract,3/2/2022,11:35:00,372.05
banknifty_option_contract,3/2/2022,11:36:00,365
banknifty_option_contract,3/2/2022,11:37:00,363.75
banknifty_option_contract,3/2/2022,11:38:00,359.8
banknifty_option_contract,3/2/2022,11:39:00,350.4
banknifty_option_contract,3/2/2022,11:40:00,351.95
banknifty_option_contract,3/2/2022,11:41:00,351.2
banknifty_option_contract,3/2/2022,11:42:00,351.45
banknifty_option_contract,3/2/2022,11:43:00,355.2
banknifty_option_contract,3/2/2022,11:44:00,356
banknifty_option_contract,3/2/2022,11:45:00,350.5
banknifty_option_contract,3/2/2022,11:46:00,345
banknifty_option_contract,3/2/2022,11:47:00,347.2
banknifty_option_contract,3/2/2022,11:48:00,347.65
banknifty_option_contract,3/2/2022,11:49:00,350.15
banknifty_option_contract,3/2/2022,11:50:00,346.2
banknifty_option_contract,3/2/2022,11:51:00,349.05
banknifty_option_contract,3/2/2022,11:52:00,346
banknifty_option_contract,3/2/2022,11:53:00,341.05
banknifty_option_contract,3/2/2022,11:54:00,346
banknifty_option_contract,3/2/2022,11:55:00,342.45
banknifty_option_contract,3/2/2022,11:56:00,341.75
banknifty_option_contract,3/2/2022,11:57:00,339.65
banknifty_option_contract,3/2/2022,11:58:00,343
banknifty_option_contract,3/2/2022,11:59:00,347.55
banknifty_option_contract,3/2/2022,12:00:00,350
banknifty_option_contract,3/2/2022,12:01:00,345
banknifty_option_contract,3/2/2022,12:02:00,337.7
banknifty_option_contract,3/2/2022,12:03:00,341.85
banknifty_option_contract,3/2/2022,12:04:00,345.45
banknifty_option_contract,3/2/2022,12:05:00,352.15
banknifty_option_contract,3/2/2022,12:06:00,353.7
banknifty_option_contract,3/2/2022,12:07:00,353.1
banknifty_option_contract,3/2/2022,12:08:00,351.95
banknifty_option_contract,3/2/2022,12:09:00,345
banknifty_option_contract,3/2/2022,12:10:00,340.9
banknifty_option_contract,3/2/2022,12:11:00,341.45
banknifty_option_contract,3/2/2022,12:12:00,335.35
banknifty_option_contract,3/2/2022,12:13:00,335.95
banknifty_option_contract,3/2/2022,12:14:00,335.05
banknifty_option_contract,3/2/2022,12:15:00,330.1
banknifty_option_contract,3/2/2022,12:16:00,338.85
banknifty_option_contract,3/2/2022,12:17:00,342.85
banknifty_option_contract,3/2/2022,12:18:00,341.7
banknifty_option_contract,3/2/2022,12:19:00,345.55
banknifty_option_contract,3/2/2022,12:20:00,354
banknifty_option_contract,3/2/2022,12:21:00,348
banknifty_option_contract,3/2/2022,12:22:00,350
banknifty_option_contract,3/2/2022,12:23:00,347.65
banknifty_option_contract,3/2/2022,12:24:00,348.05
banknifty_option_contract,3/2/2022,12:25:00,354.8
banknifty_option_contract,3/2/2022,12:26:00,356.2
banknifty_option_contract,3/2/2022,12:27:00,355.7
banknifty_option_contract,3/2/2022,12:28:00,346.7
banknifty_option_contract,3/2/2022,12:29:00,350.35
banknifty_option_contract,3/2/2022,12:30:00,352.95
banknifty_option_contract,3/2/2022,12:31:00,353.15
banknifty_option_contract,3/2/2022,12:32:00,352
banknifty_option_contract,3/2/2022,12:33:00,359.9
banknifty_option_contract,3/2/2022,12:34:00,362.95
banknifty_option_contract,3/2/2022,12:35:00,366
banknifty_option_contract,3/2/2022,12:36:00,363.25
banknifty_option_contract,3/2/2022,12:37:00,370.5
banknifty_option_contract,3/2/2022,12:38:00,391.5
banknifty_option_contract,3/2/2022,12:39:00,394.05
banknifty_option_contract,3/2/2022,12:40:00,400.55
banknifty_option_contract,3/2/2022,12:41:00,400.6
banknifty_option_contract,3/2/2022,12:42:00,408.6
banknifty_option_contract,3/2/2022,12:43:00,409.05
